"leafID","leafID2","species","ind","trt","spore_assay","processor","symptoms","sp_viable","inf_viable","counter","date_counted","count1","count2","count3","count4","vol1","vol2","vol3","vol4","lesion_size","notes"
46,"46C","ARME",4,"T","C",,,,,,,,,,,,,,,,
47,"47S","ARME",5,"T","S",,,,,,,,,,,,,,,,
47,"47C","ARME",5,"T","C",,,,,,,,,,,,,,,,
48,"48S","ARME",6,"T","S",,,,,,,,,,,,,,,,
48,"48C","ARME",6,"T","C",,,,,,,,,,,,,,,,
49,"49S","ARME",7,"T","S",,,,,,,,,,,,,,,,
49,"49C","ARME",7,"T","C",,,,,,,,,,,,,,,,
50,"50S","ARME",8,"T","S",,,,,,,,,,,,,,,,
50,"50C","ARME",8,"T","C",,,,,,,,,,,,,,,,
51,"51S","ARME",9,"T","S",,,,,,,,,,,,,,,,
51,"51C","ARME",9,"T","C",,,,,,,,,,,,,,,,
52,"52S","ARME",10,"T","S",,,,,,,,,,,,,,,,
52,"52C","ARME",10,"T","C",,,,,,,,,,,,,,,,
53,"53S","ARME",11,"T","S",,,,,,,,,,,,,,,,
53,"53C","ARME",11,"T","C",,,,,,,,,,,,,,,,
54,"54S","ARME",12,"T","S",,,,,,,,,,,,,,,,
54,"54C","ARME",12,"T","C",,,,,,,,,,,,,,,,
55,"55S","ARME",13,"T","S",,,,,,,,,,,,,,,,
55,"55C","ARME",13,"T","C",,,,,,,,,,,,,,,,
56,"56S","ARME",14,"T","S",,,,,,,,,,,,,,,,
56,"56C","ARME",14,"T","C",,,,,,,,,,,,,,,,
57,"57S","ARME",15,"T","S",,,,,,,,,,,,,,,,
57,"57C","ARME",15,"T","C",,,,,,,,,,,,,,,,
58,"58S","ARME",16,"T","S",,,,,,,,,,,,,,,,
58,"58C","ARME",16,"T","C",,,,,,,,,,,,,,,,
59,"59S","ARME",17,"T","S",,,,,,,,,,,,,,,,
59,"59C","ARME",17,"T","C",,,,,,,,,,,,,,,,
60,"60S","ARME",18,"T","S",,,,,,,,,,,,,,,,
60,"60C","ARME",18,"T","C",,,,,,,,,,,,,,,,
61,"61S","ARME",19,"T","S",,,,,,,,,,,,,,,,
61,"61C","ARME",19,"T","C",,,,,,,,,,,,,,,,
62,"62S","ARME",20,"T","S",,,,,,,,,,,,,,,,
62,"62C","ARME",20,"T","C",,,,,,,,,,,,,,,,
63,"63S","ARME",21,"T","S",,,,,,,,,,,,,,,,
63,"63C","ARME",21,"T","C",,,,,,,,,,,,,,,,
64,"64S","ARME",22,"T","S",,,,,,,,,,,,,,,,
64,"64C","ARME",22,"T","C",,,,,,,,,,,,,,,,
65,"65S","ARME",23,"T","S",,,,,,,,,,,,,,,,
65,"65C","ARME",23,"T","C",,,,,,,,,,,,,,,,
66,"66S","ARME",24,"T","S",,,,,,,,,,,,,,,,
66,"66C","ARME",24,"T","C",,,,,,,,,,,,,,,,
67,"67S","ARME",25,"T","S",,,,,,,,,,,,,,,,
67,"67C","ARME",25,"T","C",,,,,,,,,,,,,,,,
68,"68S","ARME",26,"T","S",,,,,,,,,,,,,,,,
68,"68C","ARME",26,"T","C",,,,,,,,,,,,,,,,
69,"69S","ARME",27,"T","S",,,,,,,,,,,,,,,,
69,"69C","ARME",27,"T","C",,,,,,,,,,,,,,,,
70,"70S","ARME",28,"T","S",,,,,,,,,,,,,,,,
70,"70C","ARME",28,"T","C",,,,,,,,,,,,,,,,
71,"71S","ARME",29,"T","S",,,,,,,,,,,,,,,,
71,"71C","ARME",29,"T","C",,,,,,,,,,,,,,,,
72,"72S","ARME",30,"T","S",,,,,,,,,,,,,,,,
72,"72C","ARME",30,"T","C",,,,,,,,,,,,,,,,
73,"73S","ARME",31,"T","S",,,,,,,,,,,,,,,,
73,"73C","ARME",31,"T","C",,,,,,,,,,,,,,,,
74,"74S","ARME",32,"T","S",,,,,,,,,,,,,,,,
74,"74C","ARME",32,"T","C",,,,,,,,,,,,,,,,
75,"75S","ARME",1,"C","S",,,,,,,,,,,,,,,,
75,"75C","ARME",1,"C","C",,,,,,,,,,,,,,,,
76,"76S","ARME",2,"C","S",,,,,,,,,,,,,,,,
76,"76C","ARME",2,"C","C",,,,,,,,,,,,,,,,
77,"77S","ARME",3,"C","S",,,,,,,,,,,,,,,,
77,"77C","ARME",3,"C","C",,,,,,,,,,,,,,,,
78,"78S","ARME",4,"C","S",,,,,,,,,,,,,,,,
78,"78C","ARME",4,"C","C",,,,,,,,,,,,,,,,
79,"79S","ARME",5,"C","S",,,,,,,,,,,,,,,,
79,"79C","ARME",5,"C","C",,,,,,,,,,,,,,,,
80,"80S","ARME",6,"C","S",,,,,,,,,,,,,,,,
