"coef","lower","upper","est","SE","species"
".sig01",1,1.85650417546805,NA,NA,NA
"speciesACMA",232.287981821795,1066.42092613655,507.048985584852,1.50438790113154,"ACMA"
"speciesARME",19.9691587848428,98.243657763755,46.2904618047743,1.48647753922477,"ARME"
"speciesLIDE",75.1466149389529,330.703846071102,159.67257132235,1.52797989028853,"LIDE"
"speciesQUKE",261.002904807103,1406.72176686583,592.648262455682,1.48502272362735,"QUKE"
"speciesTODI",71.7191518344586,360.208261027204,160.814198606104,1.48848461080849,"TODI"
"speciesUMCA",153.476576035777,813.466075853981,354.844279704796,1.4940303396255,"UMCA"
