"species","trt","striptube","first","last"
"PIPO","T",1,531,538
"PIPO","T",2,539,546
"PIPO","T",3,547,554
"PIPO","T",4,555,562
"PIPO","C",1,563,570
"PIPO","C",2,571,572
"SESE","T",1,573,580
"SESE","T",2,581,588
"SESE","T",3,589,596
"SESE","T",4,597,604
"SESE","C",1,605,612
"SESE","C",2,613,614
"PSME","T",1,615,622
"PSME","T",2,623,630
"PSME","T",3,631,638
"PSME","T",4,639,646
"PSME","C",1,647,654
"PSME","C",2,655,656
