"leafID","leafID2","species","ind","leaf","trt","spore_assay","processor","spore_counter","date_counted","count1","count2","count3","prop","perc_lesion","leaf_area_cm2","lesion_area_cm2","asymp","notes","omit","easting","northing","date_proc"
20,"20S","ACMA",20,1,"T","S","LMR","LMR",2019-08-01,"1","1","0","NA",72.97,1.23,0.9,NA,NA,NA,606291,4023962,2019-05-17
20,"20C","ACMA",20,1,"T","C","LMR","EL",2019-06-12,"121","NA","NA","0.1",65.77,1.23,0.81,NA,NA,NA,606291,4023962,2019-05-17
21,"21S","ACMA",21,1,"T","S","LMR","LMR",2019-08-01,"2","0","0","NA",79.48,1.23,0.98,NA,NA,NA,606291,4023962,2019-05-17
21,"21C","ACMA",21,1,"T","C","LMR","EL",2019-06-12,"192","NA","NA","0.1",76.13,1.23,0.93,NA,NA,NA,606291,4023962,2019-05-17
22,"22S","ACMA",22,1,"T","S","LMR","LMR",2019-08-01,"0","0","1","NA",61.46,1.23,0.75,NA,NA,NA,606291,4023962,2019-05-17
22,"22C","ACMA",22,1,"T","C","LMR","EL",2019-06-12,"158","NA","NA","0.1",82.7,1.23,1.01,NA,NA,NA,606291,4023962,2019-05-17
23,"23S","ACMA",23,1,"T","S","LMR","LMR",2019-08-01,"2","4","0","NA",76.57,1.23,0.94,NA,"discs placed horizontally instead of vertically. Guessed the one closer to corner was sporangia.",NA,606291,4023962,2019-05-17
23,"23C","ACMA",23,1,"T","C","LMR","SF",2019-06-12,"241","NA","NA","0.1",69.06,1.23,0.85,NA,"discs placed horizontally instead of vertically. Guessed the one closer to corner was sporangia.",NA,606291,4023962,2019-05-17
24,"24S","ACMA",24,1,"T","S","LMR","LMR",2019-08-01,"0","0","1","NA",95.56,1.23,1.17,NA,NA,NA,606292,4023969,2019-05-17
24,"24C","ACMA",24,1,"T","C","LMR","SF",2019-06-12,"173","NA","NA","0.05",100,1.23,1.23,NA,NA,NA,606292,4023969,2019-05-17
25,"25S","ACMA",25,1,"T","S","LMR","LMR",2019-08-05,"0","2","0","NA",100,1.23,1.23,NA,NA,NA,606288,4023968,2019-05-17
25,"25C","ACMA",25,1,"T","C","LMR","SF",2019-06-12,"78","NA","NA","0.05",82.57,1.23,1.01,NA,NA,NA,606288,4023968,2019-05-17
26,"26S","ACMA",26,1,"T","S","LMR","LMR",2019-08-05,"228","229","150","NA",99.4,1.23,1.22,NA,"holy shit",NA,606281,4023962,2019-05-17
26,"26C","ACMA",26,1,"T","C","LMR","SF",2019-06-12,"191","NA","NA","0.05",96.61,1.23,1.19,NA,"large qty sporangia",NA,606281,4023962,2019-05-17
27,"27S","ACMA",27,1,"T","S","LMR","LMR",2019-08-05,"1","7","5","NA",84.73,1.23,1.04,NA,NA,NA,606219,4024020,2019-05-17
27,"27C","ACMA",27,1,"T","C","LMR","SF",2019-06-12,"124","NA","NA","0.05",71.53,1.23,0.88,NA,"2 discs in tube. One with more spores was counted",NA,606219,4024020,2019-05-17
28,"28S","ACMA",28,1,"T","S","LMR","LMR",2019-08-05,"12","9","13","NA",100,1.23,1.23,NA,NA,NA,606219,4024020,2019-05-17
28,"28C","ACMA",28,1,"T","C","LMR","SF",2019-06-12,"203","NA","NA","0.05",100,1.23,1.23,NA,"odd shaped spore clumps not counted",NA,606219,4024020,2019-05-17
29,"29S","ACMA",29,1,"T","S","LMR","LMR",2019-08-05,"1","2","4","NA",92.19,1.23,1.13,NA,NA,NA,606219,4024020,2019-05-17
29,"29C","ACMA",29,1,"T","C","LMR","SF",2019-06-12,"65","NA","NA","0.05",69.62,1.23,0.85,NA,NA,NA,606219,4024020,2019-05-17
30,"30S","ACMA",30,1,"T","S","LMR","LMR",2019-08-05,"3","2","3","NA",87.98,1.23,1.08,NA,NA,NA,606281,4023983,2019-05-17
30,"30C","ACMA",30,1,"T","C","LMR","SF",2019-06-12,"165","NA","NA","0.1",98.06,1.23,1.2,NA,NA,NA,606281,4023983,2019-05-17
31,"31S","ACMA",31,1,"T","S","LMR","LMR",2019-05-21,"2","3","1","NA",99.56,1.23,1.22,NA,NA,NA,606256,4023973,2019-05-17
31,"31C","ACMA",31,1,"T","C","LMR","SF",2019-06-12,"144","NA","NA","0.1",99.43,1.23,1.22,NA,NA,NA,606256,4023973,2019-05-17
32,"32S","ACMA",32,1,"T","S","LMR","LMR",2019-05-21,"1","0","0","NA",99.96,1.23,1.23,NA,NA,NA,606026,4023761,2019-05-17
32,"32C","ACMA",32,1,"T","C","LMR","SF",2019-06-12,"329","NA","NA","0.1",100,1.23,1.23,NA,NA,NA,606026,4023761,2019-05-17
33,"33S","ACMA",1,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",10.07,1.23,0.12,NA,NA,NA,606006,4023900,2019-05-17
33,"33C","ACMA",1,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0,1.23,0,NA,NA,NA,606006,4023900,2019-05-17
34,"34S","ACMA",2,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",3.33,1.23,0.04,NA,NA,NA,606007,4023900,2019-05-17
34,"34C","ACMA",2,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0,1.23,0,NA,NA,NA,606007,4023900,2019-05-17
35,"35S","ACMA",9,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,606173,4023908,2019-05-17
35,"35C","ACMA",9,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0,1.23,0,NA,NA,NA,606173,4023908,2019-05-17
36,"36S","ACMA",10,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,606190,4023915,2019-05-17
36,"36C","ACMA",10,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0,1.23,0,NA,NA,NA,606190,4023915,2019-05-17
37,"37S","ACMA",17,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0.24,1.23,0,NA,NA,NA,606330,4023945,2019-05-17
37,"37C","ACMA",17,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0.04,1.23,0,NA,NA,NA,606330,4023945,2019-05-17
38,"38S","ACMA",18,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0.59,1.23,0.01,NA,NA,NA,606306,4023954,2019-05-17
38,"38C","ACMA",18,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0.74,1.23,0.01,NA,NA,NA,606306,4023954,2019-05-17
39,"39S","ACMA",25,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0.98,1.23,0.01,NA,NA,NA,606288,4023968,2019-05-17
39,"39C","ACMA",25,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",3,1.23,0.04,NA,NA,NA,606288,4023968,2019-05-17
40,"40S","ACMA",26,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0.68,1.23,0.01,NA,NA,NA,606281,4023962,2019-05-17
40,"40C","ACMA",26,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0.04,1.23,0,NA,NA,NA,606281,4023962,2019-05-17
41,"41S","ACMA",29,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,606219,4024020,2019-05-17
41,"41C","ACMA",29,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0,1.23,0,NA,NA,NA,606219,4024020,2019-05-17
42,"42S","ACMA",30,1,"C","S","LMR","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,606281,4023983,2019-05-17
42,"42C","ACMA",30,1,"C","C","LMR","SF",2019-06-13,"0","NA","NA","1",0,1.23,0,NA,NA,NA,606281,4023983,2019-05-17
43,"43S","ARME",1,1,"T","S","SF","LMR",2019-05-21,"0","0","0","NA",67.84,1.23,0.83,NA,NA,NA,605928,4023758,2019-05-17
43,"43C","ARME",1,1,"T","C","LMR","SF",2019-06-19,"0","NA","NA","1",96.31,1.23,1.18,NA,NA,NA,605928,4023758,2019-05-17
44,"44S","ARME",2,1,"T","S","SF","LMR",2019-05-21,"0","0","0","NA",85.71,1.23,1.05,NA,NA,NA,605916,4023752,2019-05-17
44,"44C","ARME",2,1,"T","C","LMR","EL",2019-06-25,"9","NA","NA","0.1",64.42,1.23,0.79,NA,NA,NA,605916,4023752,2019-05-17
45,"45S","ARME",3,1,"T","S","SF","LMR",2019-05-21,"0","0","1","NA",95.3,1.23,1.17,NA,NA,NA,605927,4023742,2019-05-17
