leafID,leafID2,species,ind,leaf,trt,spore_assay,total area,perc_lesion
69,69S,ARME,27,1,T,S,,100
69,69C,ARME,27,1,T,C,12465,93.189
70,70S,ARME,28,1,T,S,,100
70,70C,ARME,28,1,T,C,13080,97.787
71,71S,ARME,29,1,T,S,,NA
71,71C,ARME,29,1,T,C,14880,97.998
72,72S,ARME,30,1,T,S,11297,74.401
72,72C,ARME,30,1,T,C,11219,73.887
73,73S,ARME,31,1,T,S,,100
73,73C,ARME,31,1,T,C,,100
74,74S,ARME,32,1,T,S,,100
74,74C,ARME,32,1,T,C,,100
75,75S,ARME,1,1,C,S,0,
75,75C,ARME,1,1,C,C,0,
76,76S,ARME,2,1,C,S,0,
76,76C,ARME,2,1,C,C,0,
77,77S,ARME,9,1,C,S,0,
77,77C,ARME,9,1,C,C,0,
78,78S,ARME,10,1,C,S,0,
78,78C,ARME,10,1,C,C,0,
79,79S,ARME,17,1,C,S,0,
79,79C,ARME,17,1,C,C,0,
80,80S,ARME,18,1,C,S,0,
80,80C,ARME,18,1,C,C,0,
81,81S,ARME,25,1,C,S,0,
81,81C,ARME,25,1,C,C,0,
82,82S,ARME,26,1,C,S,0,
82,82C,ARME,26,1,C,C,0,
83,83S,ARME,29,1,C,S,0,
83,83C,ARME,29,1,C,C,0,
84,84S,ARME,30,1,C,S,0,
84,84C,ARME,30,1,C,C,0,
85,85S,CEOL,1,1,T,S,,0
85,85C,CEOL,1,2,T,C,4860,
86,86S,CEOL,2,1,T,S,,100
86,86C,CEOL,2,1,T,C,13613,
87,87S,CEOL,3,1,T,S,4517,
87,87C,CEOL,3,1,T,C,4325,
88,88S,CEOL,4,1,T,S,11731,
88,88C,CEOL,4,1,T,C,14217,
89,89S,CEOL,5,1,T,S,,100
89,89C,CEOL,5,1,T,C,12478,
90,90S,CEOL,6,1,T,S,,100
90,90C,CEOL,6,1,T,C,,100
91,91S,CEOL,7,1,T,S,7949,
91,91C,CEOL,7,1,T,C,4710,
92,92S,CEOL,8,1,T,S,,100
92,92C,CEOL,8,1,T,C,5028,
93,93S,CEOL,9,1,T,S,5401,
93,93C,CEOL,9,1,T,C,13619,
94,94S,CEOL,10,1,T,S,,100
94,94C,CEOL,10,2,T,C,,100
95,95S,CEOL,11,1,T,S,,100
95,95C,CEOL,11,1,T,C,,100
96,96S,CEOL,12,1,T,S,13181,
96,96C,CEOL,12,1,T,C,11946,
97,97S,CEOL,13,1,T,S,,100
97,97C,CEOL,13,1,T,C,,0
98,98S,CEOL,14,1,T,S,5197,
98,98C,CEOL,14,1,T,C,10957,
99,99S,CEOL,15,1,T,S,7378,
99,99C,CEOL,15,1,T,C,,100
100,100S,CEOL,16,1,T,S,4775,
100,100C,CEOL,16,1,T,C,2179,
101,101S,CEOL,17,1,T,S,,100
101,101C,CEOL,17,1,T,C,,100
102,102S,CEOL,18,1,T,S,,100
102,102C,CEOL,18,1,T,C,13448,
103,103S,CEOL,19,1,T,S,12775,
103,103C,CEOL,19,1,T,C,3503,
104,104S,CEOL,20,1,T,S,,100
104,104C,CEOL,20,1,T,C,,100
105,105S,CEOL,21,1,T,S,,100
105,105C,CEOL,21,1,T,C,,100
106,106S,CEOL,22,1,T,S,10932,
106,106C,CEOL,22,1,T,C,3268,
107,107S,CEOL,23,1,T,S,,100
107,107C,CEOL,23,1,T,C,,100
108,108S,CEOL,24,1,T,S,12328,
108,108C,CEOL,24,1,T,C,,100
109,109S,CEOL,25,1,T,S,,100
109,109C,CEOL,25,1,T,C,,100
110,110S,CEOL,26,1,T,S,,100
110,110C,CEOL,26,1,T,C,,100
111,111S,CEOL,27,1,T,S,9442,
111,111C,CEOL,27,1,T,C,9460,
112,112S,CEOL,28,1,T,S,,100
112,112C,CEOL,28,1,T,C,,100
113,113S,CEOL,29,1,T,S,,100
113,113C,CEOL,29,1,T,C,,100
114,114S,CEOL,30,1,T,S,,100
114,114C,CEOL,30,1,T,C,,100
115,115S,CEOL,31,1,T,S,,100
115,115C,CEOL,31,1,T,C,,100
116,116S,CEOL,32,1,T,S,8512,
116,116C,CEOL,32,1,T,C,13638,
117,117S,CEOL,1,3,C,S,0,
117,117C,CEOL,1,4,C,C,0,
118,118S,CEOL,2,1,C,S,0,
118,118C,CEOL,2,1,C,C,0,
119,119S,CEOL,9,1,C,S,0,
119,119C,CEOL,9,1,C,C,0,
120,120S,CEOL,10,1,C,S,0,
120,120C,CEOL,10,2,C,C,0,
121,121S,CEOL,17,1,C,S,0,
121,121C,CEOL,17,1,C,C,0,
122,122S,CEOL,18,1,C,S,0,
122,122C,CEOL,18,1,C,C,0,
123,123S,CEOL,25,1,C,S,0,
123,123C,CEOL,25,1,C,C,0,
124,124S,CEOL,26,1,C,S,0,
124,124C,CEOL,26,1,C,C,0,
125,125S,CEOL,29,1,C,S,0,
125,125C,CEOL,29,1,C,C,0,
126,126S,CEOL,30,1,C,S,0,
126,126C,CEOL,30,1,C,C,0,
127,127S,HEAR,1,1,T,S,5079,34.007
127,127C,HEAR,1,1,T,C,5100,32.199
128,128S,HEAR,2,1,T,S,13116,86.38
128,128C,HEAR,2,1,T,C,7035,46.332
129,129S,HEAR,3,1,T,S,7558,49.116
129,129C,HEAR,3,1,T,C,4941,32.109
130,130S,HEAR,4,1,T,S,,0
